,Dbn,P,l,L_2,l0,A1,Dy2,Dy4,Dy_1,Dk,H_2,h,A_0,l_1,l_2_H,l_2_V,lk_H,lk_V,l_3,n_walls
0,400,1.6,2000,2720,800,1550,150,0,150,562,363,349,460,280,500,1200,400,700,250,6
1,400,1.6,3000,3720,1500,2550,150,0,150,562,363,349,460,280,500,1500,750,900,250,10
2,400,1.6,4000,4720,2000,3550,150,0,150,562,363,349,460,280,800,1800,1000,1000,250,14
3,400,1.6,6000,6720,3000,5550,150,0,150,562,363,349,460,280,1200,1800,1500,1000,250,22
4,600,"1.0,1.6",2000,2900,800,1500,200,150,200,762,530,525,585,310,400,1200,400,700,300,4
5,600,"1.0,1.6",3000,3900,1500,2500,200,150,200,762,530,525,585,310,500,1500,750,900,300,8
6,600,"1.0,1.6",4000,4900,2000,3500,200,150,200,762,530,525,585,310,800,1800,1000,1000,300,10
7,600,"1.0,1.6",6000,6900,3000,5500,200,150,200,762,530,525,585,310,1200,1800,1500,1000,300,18
8,600,2.5,2000,2910,800,1450,200,150,200,0,530,525,610,310,400,1200,0,0,300,4
9,600,2.5,3000,3910,1500,2450,200,150,200,0,530,525,610,310,500,1500,0,0,300,8
10,600,2.5,4000,4910,2000,3450,200,150,200,0,530,525,610,310,800,1800,0,0,300,10
11,600,2.5,6000,6910,3000,5450,200,150,200,0,530,525,610,310,1200,1800,0,0,300,18
12,600,4.0,2000,2950,800,1400,200,150,200,0,530,525,635,310,400,1200,0,0,300,4
13,600,4.0,3000,3950,1500,2400,200,150,200,0,530,525,635,310,500,1500,0,0,300,8
14,600,4.0,4000,4950,2000,3400,200,150,200,0,530,525,635,310,800,1800,0,0,300,10
15,600,4.0,6000,6950,3000,5400,200,150,200,0,530,525,635,310,1200,1800,0,0,300,18
16,800,"1.0,1.6",2000,2990,800,1450,250,200,250,962,627,608,620,315,400,1200,400,700,350,4
17,800,"1.0,1.6",3000,3990,1500,2450,250,200,250,962,627,608,620,315,600,1500,750,900,350,6
18,800,"1.0,1.6",4000,4990,2000,3450,250,200,250,962,627,608,620,315,800,1800,1000,1000,350,8
19,800,"1.0,1.6",6000,6990,3000,5450,250,200,250,962,627,608,620,315,1200,1800,1500,1000,350,14
20,800,2.5,2000,3000,800,1400,250,200,250,0,627,612,645,315,400,1200,0,0,350,4
21,800,2.5,3000,4000,1500,2400,250,200,250,0,627,612,645,315,600,1500,0,0,350,6
22,800,2.5,4000,5000,2000,3400,250,200,250,0,627,612,645,315,800,1800,0,0,350,8
23,800,2.5,6000,7000,3000,5400,250,200,250,0,627,612,645,315,1200,1800,0,0,350,14
24,800,4.0,2000,3040,800,1350,250,200,250,0,677,612,670,315,400,1200,0,0,350,4
25,800,4.0,3000,4040,1500,2350,250,200,250,0,677,612,670,315,600,1500,0,0,350,6
26,800,4.0,4000,5040,2000,3350,250,200,250,0,677,612,670,315,800,1800,0,0,350,8
27,800,4.0,6000,7040,3000,5350,250,200,250,0,677,612,670,315,1200,1800,0,0,350,14
28,1000,"0.6,1.0",3000,4200,1500,2350,300,200,300,1162,729,712,760,380,400,1500,0,900,520,4
29,1000,"0.6,1.0",4000,5200,2000,3350,300,200,300,1162,729,712,760,380,600,1800,0,1000,520,6
30,1000,"0.6,1.0",6000,7200,3000,5350,300,200,300,1162,729,712,760,380,1200,1800,0,1000,520,10
31,1000,"0.6,1.0",9000,10200,6000,8350,300,200,300,1162,729,712,760,380,1200,1800,0,1000,520,16
32,1000,1.6,3000,4200,1500,2350,300,200,300,1162,729,712,760,380,400,1500,0,900,520,4
33,1000,1.6,4000,5200,2000,3350,300,200,300,1162,729,712,760,380,600,1800,0,1000,520,6
34,1000,1.6,6000,7200,3000,5350,300,200,300,1162,729,712,760,380,1200,1800,0,1000,520,10
35,1000,1.6,9000,10200,6000,8350,300,200,300,1162,729,712,760,380,1200,1800,0,1000,520,16
36,1000,2.5,3000,4230,1500,2300,300,200,300,0,779,716,785,380,400,1500,0,0,520,4
37,1000,2.5,4000,5230,2000,3300,300,200,300,0,779,716,785,380,600,1800,0,0,520,6
38,1000,2.5,6000,7230,3000,5300,300,200,300,0,779,716,785,380,1200,1800,0,0,520,10
39,1000,2.5,9000,10230,6000,8300,300,200,300,0,779,716,785,380,1200,1800,0,0,520,16
40,1000,4.0,3000,4280,1500,2250,300,200,300,0,779,716,810,380,400,1500,0,0,520,4
41,1000,4.0,4000,5280,2000,3250,300,200,300,0,779,716,810,380,600,1800,0,0,520,6
42,1000,4.0,6000,7280,3000,5250,300,200,300,0,779,716,810,380,1200,1800,0,0,520,10
43,1200,"0.6,1.0",4000,5330,2000,3200,350,250,350,1362,831,812,835,450,700,1800,0,1000,550,6
44,1200,"0.6,1.0",6000,7330,3000,5200,350,250,350,1362,831,812,835,450,1200,1800,0,1000,550,8
45,1200,"0.6,1.0",9000,10330,6000,8200,350,250,350,1362,831,812,835,450,1200,1800,0,1000,550,14
46,1200,1.6,4000,5340,2000,3200,350,250,350,1362,831,822,835,450,700,1800,0,1000,550,6
47,1200,1.6,6000,7340,3000,5200,350,250,350,1362,831,822,835,450,1200,1800,0,1000,550,8
48,1200,1.6,9000,10340,6000,8200,350,250,350,1362,831,822,835,450,1200,1800,0,1000,550,14
49,1200,2.5,4000,5380,2000,3200,350,250,350,0,879,822,835,450,700,1800,0,0,550,6
50,1200,2.5,6000,7380,3000,5200,350,250,350,0,879,822,835,450,1200,1800,0,0,550,8
51,1200,2.5,9000,10380,6000,8200,350,250,350,0,879,822,835,450,1200,1800,0,0,550,14
