,Db,dn_tube,n_ways,2m,3m,4m,6m,9m,s
0,400,20,1,22.5,33.7,45.0,67.4,0.0,0.0358
1,400,20,2,20.9,31.3,41.7,62.6,0.0,0.0162
2,400,25,1,16.8,25.2,33.6,50.4,0.0,0.0375
3,400,25,2,15.4,23.1,30.8,46.2,0.0,0.0168
4,600,20,1,50.4,75.5,100.7,151.1,0.0,0.0802
5,600,20,2,47.7,71.6,95.5,143.2,0.0,0.037
6,600,20,4,43.2,64.8,86.4,129.6,0.0,0.0162
7,600,25,1,41.6,62.4,83.2,124.8,0.0,0.0928
8,600,25,2,38.9,58.4,77.9,116.8,0.0,0.042
9,600,25,4,33.6,50.4,67.2,100.8,0.0,0.0179
10,800,20,1,94.1,141.1,188.1,282.2,0.0,0.1498
11,800,20,2,90.5,135.7,180.9,271.4,0.0,0.0706
12,800,20,4,83.9,125.9,167.8,254.1,0.0,0.0308
13,800,25,1,74.4,111.6,148.8,223.3,0.0,0.1659
14,800,25,2,70.8,106.2,141.6,212.4,0.0,0.0774
15,800,25,4,64.5,96.8,129.1,193.6,0.0,0.0329
16,1000,20,1,0.0,224.0,298.7,448.0,672.0,0.2378
17,1000,20,2,0.0,216.8,289.1,433.7,650.4,0.1138
18,1000,20,4,0.0,205.0,273.3,410.0,615.0,0.0512
19,1000,25,1,0.0,181.6,242.1,363.1,544.7,0.2695
20,1000,25,2,0.0,174.5,232.7,349.0,523.5,0.1257
21,1000,25,4,0.0,162.3,216.3,324.5,486.8,0.0553
22,1200,20,1,0.0,0.0,432.3,648.5,972.7,0.3442
23,1200,20,2,0.0,0.0,421.5,632.3,948.4,0.1658
24,1200,20,4,0.0,0.0,401.9,602.9,904.3,0.0788
25,1200,25,1,0.0,0.0,349.8,524.7,787.0,0.3899
26,1200,25,2,0.0,0.0,338.8,508.2,762.3,0.1834
27,1200,25,4,0.0,0.0,319.3,479.0,718.5,0.0854
