,Dbn,P,l,L,L_2,l0,A1,Dy1,Dy2,Dy4,Dy_1,Dk,H_2,h,A_0,l_1,l_1(2),l_2_H,l_2_V,lk_H,lk_V,l_3,n_walls
0,400,"1.6,2.5",2000,2790,2770,800,1550,150,150,0,150,562,363,349,460,620,280,500,1200,400,700,250,6
1,400,"1.6,2.5",3000,3790,3770,1500,2550,150,150,0,150,562,363,349,460,620,280,500,1500,750,900,250,10
2,400,"1.6,2.5",4000,4790,4770,2000,3550,150,150,0,150,562,363,349,460,620,280,800,1800,1000,1000,250,14
3,400,"1.6,2.5",6000,6790,6770,4000,5550,150,150,0,150,562,363,349,460,620,280,1200,1800,1500,1000,250,22
4,400,4.0,2000,2820,2810,800,1440,150,150,0,150,0,363,349,460,690,280,500,1200,0,0,250,6
5,400,4.0,3000,3820,3810,1500,2440,150,150,0,150,0,363,349,460,690,280,500,1500,0,0,250,10
6,400,4.0,4000,4820,4810,2000,3440,150,150,0,150,0,363,349,460,690,280,800,1800,0,0,250,14
7,400,4.0,6000,6820,6810,3000,5440,150,150,0,150,0,363,349,460,690,280,1200,1800,0,0,250,22
8,600,1.6,2000,2940,2910,800,1500,200,200,150,200,762,530,525,520,720,370,400,1200,400,700,300,4
9,600,1.6,3000,3940,3910,1500,2500,200,200,150,200,762,530,525,520,720,370,500,1500,750,900,300,8
10,600,1.6,4000,4940,4910,2000,3500,200,200,150,200,762,530,525,520,720,370,800,1800,1000,1000,300,10
11,600,1.6,6000,6940,6910,3000,5500,200,200,150,200,762,530,525,520,720,370,1200,1800,1500,1000,300,18
12,600,2.5,2000,2950,2950,800,1450,200,200,150,200,0,530,525,545,750,390,400,1200,0,0,300,4
13,600,2.5,3000,3950,3950,1500,2450,200,200,150,200,0,530,525,545,750,390,500,1500,0,0,300,8
14,600,2.5,4000,4950,4950,2000,3450,200,200,150,200,0,530,525,545,750,390,800,1800,0,0,300,10
15,600,2.5,6000,6950,6950,3000,5450,200,200,150,200,0,530,525,545,750,390,1200,1800,0,0,300,18
16,600,4.0,2000,3060,3020,800,1400,200,200,150,200,0,530,525,600,830,400,400,1200,0,0,300,4
17,600,4.0,3000,4060,4020,1500,2400,200,200,150,200,0,530,525,600,830,400,500,1500,0,0,300,8
18,600,4.0,4000,5060,5020,2000,3400,200,200,150,200,0,530,525,600,830,400,800,1800,0,0,300,10
19,600,4.0,6000,7060,7020,3000,5400,200,200,150,200,0,530,525,600,830,400,1200,1800,0,0,300,18
20,800,1.0,2000,3070,3160,800,1450,250,250,200,250,962,627,608,630,810,440,400,1200,400,700,350,4
21,800,1.0,3000,4070,4160,1500,2450,250,250,200,250,962,627,608,630,810,440,600,1500,750,900,350,6
22,800,1.0,4000,5070,5160,2000,3450,250,250,200,250,962,627,608,630,810,440,800,1800,1000,1000,350,8
23,800,1.0,6000,7070,7160,3000,5450,250,250,200,250,962,627,608,630,810,440,1200,1800,1500,1000,350,14
24,800,1.6,2000,3140,3190,800,1410,250,250,200,250,962,627,608,650,865,440,400,1200,400,700,350,4
25,800,1.6,3000,4140,4190,1500,2410,250,250,200,250,962,627,608,650,865,440,600,1500,750,900,350,6
26,800,1.6,4000,5140,5190,2000,3410,250,250,200,250,962,627,608,650,865,440,800,1800,1000,1000,350,8
27,800,1.6,6000,7140,7190,3000,5410,250,250,200,250,962,627,608,650,865,440,1200,1800,1500,1000,350,14
28,800,2.5,2000,3220,3225,800,1400,250,250,200,250,0,627,612,655,910,450,400,1200,0,0,350,4
29,800,2.5,3000,4220,4225,1500,2400,250,250,200,250,0,627,612,655,910,450,600,1500,0,0,350,6
30,800,2.5,4000,5220,5225,2000,3400,0,0,200,250,0,627,612,655,910,450,800,1800,0,0,350,8
31,800,2.5,6000,7220,7225,3000,5400,0,0,200,250,0,627,612,655,910,450,1200,1800,0,0,350,14
32,800,4.0,2000,3430,3290,800,1300,0,0,200,250,0,677,612,700,1065,460,400,1200,0,0,350,4
33,800,4.0,3000,4430,4290,1500,2300,0,0,200,250,0,677,612,700,1065,460,600,1500,0,0,350,6
34,800,4.0,4000,5430,5290,2000,3300,0,0,200,250,0,677,612,700,1065,460,800,1800,0,0,350,8
35,800,4.0,6000,7430,7290,3000,5300,0,0,200,250,0,677,612,700,1065,460,1200,1800,0,0,350,14
36,1000,"0.6,1.0",3000,4210,4220,1500,2350,300,300,200,300,1162,729,712,650,930,520,400,1500,0,900,520,4
37,1000,"0.6,1.0",4000,5210,5220,2000,3350,300,300,200,300,1162,729,712,650,930,520,600,1800,0,1000,520,6
38,1000,"0.6,1.0",6000,7210,7220,3000,5350,300,300,200,300,1162,729,712,650,930,520,1200,1800,0,1000,520,10
39,1000,"0.6,1.0",9000,10210,10220,6000,8350,300,300,200,300,1162,729,712,650,930,520,1200,1800,0,1000,520,16
40,1000,1.6,3000,4270,4240,1500,2350,300,300,200,300,1162,729,712,650,960,520,400,1500,0,900,520,4
41,1000,1.6,4000,5270,5240,2000,3350,300,300,200,300,1162,729,712,650,960,520,600,1800,0,1000,520,6
42,1000,1.6,6000,7270,7240,3000,5350,300,300,200,300,1162,729,712,650,960,520,1200,1800,0,1000,520,10
43,1000,1.6,9000,10270,10240,6000,8350,300,300,200,300,1162,729,712,650,960,520,1200,1800,0,1000,520,16
44,1000,2.5,3000,4390,4300,1500,2300,300,300,200,300,0,779,716,710,1045,540,400,1500,0,0,520,4
45,1000,2.5,4000,5390,5300,2000,3300,300,300,200,300,0,779,716,710,1045,540,600,1800,0,0,520,6
46,1000,2.5,6000,7390,7300,3000,5300,300,300,200,300,0,779,716,710,1045,540,1200,1800,0,0,520,10
47,1000,2.5,9000,10390,10300,6000,8300,300,300,200,300,0,779,716,710,1045,540,1200,1800,0,0,520,16
48,1000,4.0,3000,4580,4420,1500,2200,300,300,200,300,0,779,716,800,1190,550,400,1500,0,0,520,4
49,1000,4.0,4000,5580,5420,2000,3200,300,300,200,300,0,779,716,800,1190,550,600,1800,0,0,520,6
50,1000,4.0,6000,7580,7420,3000,5200,300,300,200,300,0,779,716,800,1190,550,1200,1800,0,0,520,10
51,1200,"0.6,1.0",4000,5300,5400,2000,3200,350,350,250,350,1362,831,812,765,1050,600,700,1800,0,1000,550,6
52,1200,"0.6,1.0",6000,7300,7400,3000,5200,350,350,250,350,1362,831,812,765,1050,600,1200,1800,0,1000,550,8
53,1200,"0.6,1.0",9000,10300,10400,6000,8200,350,350,250,350,1362,831,812,765,1050,600,1200,1800,0,1000,550,14
54,1200,1.6,4000,5400,5420,2000,3200,350,350,250,350,1362,831,822,765,1100,600,700,1800,0,1000,550,6
55,1200,1.6,6000,7400,7420,3000,5200,350,350,250,350,1362,831,822,765,1100,600,1200,1800,0,1000,550,8
56,1200,1.6,9000,10400,10420,6000,8200,350,350,250,350,1362,831,822,765,1100,600,1200,1800,0,1000,550,14
57,1200,2.5,4000,5540,5500,2000,3200,350,350,250,350,0,879,822,800,1170,620,700,1800,0,0,550,6
58,1200,2.5,6000,7540,7500,3000,5200,350,350,250,350,0,879,822,800,1170,620,1200,1800,0,0,550,8
59,1200,2.5,9000,10540,10500,6000,8200,350,350,250,350,0,879,822,800,1170,620,1200,1800,0,0,550,14
